strategy_id,walk_forward_preset,fold,valid_start,valid_end,market_context_label,date,benchmark_symbol,benchmark_weight_date,industry,strategy_industry_weight_raw,strategy_industry_weight_normalized,benchmark_industry_weight,raw_active_weight,normalized_active_weight
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,路桥,0.0,,0.0017000000000000001,-0.0017000000000000001,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,软件服务,0.0,,0.01752,-0.01752,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,软饮料,0.0,,0.00254,-0.00254,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,运输设备,0.0,,0.00552,-0.00552,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,通信设备,0.0,,0.02144,-0.02144,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,铁路,0.0,,0.01127,-0.01127,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,铜,0.0,,0.01709,-0.01709,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,铝,0.0,,0.00597,-0.00597,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,银行,0.0,,0.1348,-0.1348,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,食品,0.0,,0.00561,-0.00561,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,饲料,0.0,,0.00307,-0.00307,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-01,SH.000300,2025-03-31,黄金,0.0,,0.00596,-0.00596,
strong_market_liquid_breadth_participation_v1,baseline_2y_1y_5fold,5,2025-04-01,2026-03-31,relative_lag_in_strong_benchmark_context,2025-04-02,SH.000300,2025-04-01,IT设备,0.0,,0.018778,-0.018778,
