date,trade_cash_flow,exposure,daily_pnl,buy_amount,sell_amount,buy_cost,sell_cost,trade_cost,net_daily_pnl,account_total_assets,stock_assets,cash_assets,profit,profit_rate,unfilled_orders,stale_valuation_positions,fold,selected_params
2023-08-15,0.0,0.3804253243288746,2799.0,0.0,0.0,0.0,0.0,0.0,2799.0,1161828.5422500004,441989.0,719839.5422500003,161828.5422500004,0.16182854225000032,5,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-16,0.0,0.3803933261474914,-60.0,0.0,0.0,0.0,0.0,0.0,-60.0,1161768.5422500004,441929.0,719839.5422500003,161768.5422500004,0.16176854225000037,5,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-17,0.0,0.381294409127178,1692.0,0.0,0.0,0.0,0.0,0.0,1692.0,1163460.5422500004,443621.0,719839.5422500003,163460.5422500004,0.1634605422500004,5,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-18,-4657.815,0.3805385291851378,-8933.0,4652.0,0.0,5.815,0.0,5.815,-8938.814999999944,1154521.7272500005,439340.0,715181.7272500003,154521.72725000046,0.15452172725000035,4,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-21,-5155.43625,0.37882762817215826,-11473.0,5149.0,0.0,6.43625,0.0,6.43625,-11479.43625000026,1143042.2910000002,433016.0,710026.2910000003,143042.2910000002,0.1430422910000002,3,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-22,0.0,0.3795002185349895,1239.0,0.0,0.0,0.0,0.0,0.0,1239.0,1144281.2910000002,434255.0,710026.2910000003,144281.2910000002,0.1442812910000002,5,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-23,-15115.87125,0.38664842353061163,-11290.0,15097.0,0.0,18.87125,0.0,18.87125,-11308.871249999851,1132972.4197500004,438062.0,694910.4197500004,132972.41975000035,0.1329724197500004,3,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-24,0.0,0.3929038629223388,11674.0,0.0,0.0,0.0,0.0,0.0,11674.0,1144646.4197500004,449736.0,694910.4197500004,144646.41975000035,0.14464641975000037,5,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-25,3767.3955000000005,0.3895738256973897,-66.0,0.0,3774.0,0.0,6.6045,6.6045,-72.60449999989942,1144573.8152500005,445896.0,698677.8152500003,144573.81525000045,0.14457381525000046,3,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2023-08-28,-2626.73175,0.39092862343113044,-1747.0,8098.0,5491.0,10.1225,9.60925,19.731749999999998,-1766.7317500002682,1142807.0835000002,446756.0,696051.0835000002,142807.08350000018,0.14280708350000015,2,0,2,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
