symbol,name,industry,latest_price,pct_change,amount,volume,turnover_rate,total_mv,circ_mv,pe_ttm,pb,roe,revenue_growth,profit_growth,cash_flow_quality,debt_to_asset,financial_report_date,financial_announce_date,source,as_of_date,expected_trade_date,staleness_days,latest_coverage,trading_days,liquidity_rank,size_rank,universe_score,universe_rank
SH.688347,华虹公司,半导体,249.65,,3955150168.327869,886221.7485245902,7.0376,423982377092.0,,859.289,9.3702,0.31,18.2191831331,513.1,6.529559993212221,38.2868655932,2026-03-31,2026-05-15,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9727469804893156,0.9907091978940848,0.9799318674512233,37
SH.600584,长电科技,半导体,88.19,,8068624321.737705,6338760.866229508,12.6886,143296318766.0,,86.7334,4.9814,1.01,-1.757947088,42.74,6.128381349459628,43.0087652112,2026-03-31,2026-04-29,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9931867451223289,0.9597398575410344,0.9798079900898111,38
SH.603259,XD药明康,化学制药,111.28,,4198141090.0983605,1339509.852786885,1.3432,288678504746.0,,14.3406,3.6307,5.68,28.8068135055,26.68,0.7730401851593419,21.0798875995,2026-03-31,2026-04-28,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9767729947352122,0.9832765562093527,0.9793744193248684,39
SZ.301666,大普微,IT设备,888.99,,3963474775.388,300078.4796666667,26.1862,374230015244.00006,,28828.0695,139.5936,60.71,340.9545147468,398.88,0.8082258882710066,78.4414588748,2026-03-31,2026-04-29,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,30,0.9730566738928461,0.9885413440693713,0.9792505419634562,40
SZ.000657,中钨高新,小金属,74.33,,4918157038.6762295,2461885.126885246,7.2704,169368665052.0,,85.5058,15.8524,9.03,106.4716284137,264.44,-2.3190097089277524,59.3819052606,2026-03-31,2026-04-27,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9838959430164137,0.968101579436358,0.9775781975843914,41
SH.688498,源杰科技,半导体,1405.0,,4825379177.508197,129315.81590163933,4.0527,171051067960.0,,480.4187,69.3987,7.38,320.9399426311,1153.07,0.22096729866008796,10.7162393414,2026-03-31,2026-04-28,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9832765562093527,0.9684112728398885,0.977330442861567,42
SH.600030,中信证券,证券,27.49,,3679361151.9016395,6742729.611639344,1.0625,379257793354.0,,11.2382,1.301,3.46,40.9138156047,54.6,7.357122378618111,84.8416500214,2026-03-31,2026-04-25,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.968720966243419,0.9894704242799628,0.9770207494580365,43
SH.600276,恒瑞医药,化学制药,57.53,,3764878964.9508195,2807701.7721311473,1.0021,309492630125.0,,38.1183,4.9678,4.15,12.9753629793,21.78,0.3445896013859136,10.0243918877,2026-03-31,2026-04-23,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.969959739857541,0.9857541034375967,0.9762774852895633,44
SH.600036,招商银行,银行,40.12,,2976811629.8688526,3254810.659180328,0.3582,960876117398.0001,,6.3741,0.8486,3.37,3.8077157288,1.52,3.324764873718694,90.4293934496,2026-03-31,2026-04-29,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9625270981728089,0.995664292350573,0.9757819758439146,45
SH.600150,中国船舶,船舶,41.77,,3784271816.360656,2336439.555409836,1.414,277620169314.0,,24.0286,1.8564,3.3,54.8968342488,251.64,1.6868915307125714,62.7050142452,2026-03-31,2026-04-30,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9702694332610715,0.9823474759987613,0.9751006503561475,46
