date,trade_cash_flow,exposure,daily_pnl,buy_amount,sell_amount,trade_cost,account_total_assets,stock_assets,cash_assets,profit,profit_rate,fold,selected_params
2020-11-30,0.0,0.20856378095837508,-1374.788393942873,0.0,0.0,0.0,1072731.6278385995,223732.9642556508,848998.6635829487,72731.6278385995,0.07273162783859943,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-01,0.0,0.20856378095837508,236.77360385286053,0.0,0.0,0.0,1072968.4014424523,223782.34665370148,849186.0547887508,72968.40144245233,0.07296840144245231,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-02,0.0,0.20856378095837508,0.6528363949396407,0.0,0.0,0.0,1072969.0542788473,223782.48281172838,849186.5714671189,72969.0542788473,0.07296905427884726,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-03,0.0,0.20856378095837508,-3294.9496336732363,0.0,0.0,0.0,1069674.104645174,223095.27565806205,846578.8289871119,69674.104645174,0.0696741046451741,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-04,0.0,0.20856378095837508,8349.918454962704,0.0,0.0,0.0,1078024.0231001368,224836.7662217232,853187.2568784136,78024.02310013678,0.07802402310013679,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-07,0.0,0.20856378095837508,2967.577688790704,0.0,0.0,0.0,1080991.6007889274,225455.6954447851,855535.9053441423,80991.6007889274,0.08099160078892731,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-08,0.0,0.20856378095837508,8137.860175590695,0.0,0.0,0.0,1089129.4609645181,227152.9583319169,861976.5026326012,89129.46096451813,0.08912946096451813,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-09,0.0,0.20856378095837508,1032.085799496917,0.0,0.0,0.0,1090161.546764015,227368.21404853338,862793.3327154816,90161.54676401499,0.09016154676401489,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-10,0.0,0.20856378095837508,2674.214171127257,0.0,0.0,0.0,1092835.7609351424,227925.95826715618,864909.8026679863,92835.7609351424,0.09283576093514245,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-11,0.0,0.20856378095837508,-3544.94851334086,0.0,0.0,0.0,1089290.8124218015,227186.61040191105,862104.2020198904,89290.8124218015,0.08929081242180148,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-14,0.0,0.20856378095837508,12740.345659584433,0.0,0.0,0.0,1102031.1580813858,229843.78506339056,872187.3730179952,102031.15808138577,0.10203115808138574,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2020-12-15,0.0,0.20856378095837508,2915.145908991828,0.0,0.0,0.0,1104946.3039903776,230451.77891621523,874494.5250741623,104946.30399037758,0.10494630399037752,3,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
