代码,名称,最新价,涨跌幅,涨跌额,买入,卖出,成交量,成交额,今开,昨收,最高,最低
06693,赤峰黄金,30.66,-2.04,-0.64,30.66,30.66,7406800.0,230860217.0,32.44,31.3,32.64,30.66
02628,中国人寿,28.88,1.12,0.32,28.88,28.88,49861181.0,1437706355.9,28.78,28.56,29.16,28.52
01187,可孚医疗,28.7,-0.35,-0.1,28.7,28.7,931400.0,27469173.0,28.52,28.8,31.24,28.52
00763,中兴通讯,26.78,-3.74,-1.04,26.78,26.78,38658963.0,1032651928.94,27.82,27.82,27.82,26.0
00883,中国海洋石油,26.4,0.92,0.24,26.4,26.4,85073696.0,2235906898.08,26.0,26.16,26.46,26.0
01513,丽珠医药,26.28,-0.61,-0.16,26.28,26.28,1940300.0,51147618.9,26.44,26.44,26.66,26.16
06030,中信证券,26.04,3.58,0.9,26.04,26.04,23272686.0,612195462.86,25.28,25.14,27.32,25.26
06185,康希诺生物,25.82,1.41,0.36,25.82,25.82,1461000.0,37356244.0,25.78,25.46,26.3,24.88
06613,蓝思科技,24.08,-0.17,-0.04,24.08,24.08,34066839.0,811886695.3,24.34,24.12,24.72,22.76
01787,山东黄金,23.84,0.76,0.18,23.84,23.84,9336395.0,222618638.27,24.3,23.66,24.4,23.58
03268,美格智能,23.84,-13.5,-3.72,23.84,23.84,2898100.0,73680808.0,27.88,27.56,27.94,23.82
09611,龙旗科技,23.3,-7.39,-1.86,23.3,23.3,827600.0,19965109.3,25.9,25.16,26.3,23.2
00921,海信家电,22.96,0.17,0.04,22.96,22.96,762000.0,17606310.0,22.54,22.92,23.46,22.54
02493,迈威生物-B,22.78,-0.18,-0.04,22.78,22.78,664800.0,15106084.8,22.8,22.82,23.54,21.92
01877,君实生物,21.06,3.85,0.78,21.06,21.06,4766000.0,97619467.2,20.54,20.28,21.24,19.7
06690,海尔智家,19.7,2.18,0.42,19.7,19.7,47707940.0,937290884.39,19.4,19.28,19.76,19.33
03908,中金公司,19.62,-0.05,-0.01,19.62,19.62,19434585.0,382934149.1,19.77,19.63,20.26,19.42
06031,三一重工,19.4,-1.12,-0.22,19.4,19.4,8376925.0,165438899.85,19.62,19.62,20.18,19.4
06680,金力永磁,19.09,-4.93,-0.99,19.09,19.09,7183200.0,138473678.6,20.22,20.08,20.32,19.03
00914,海螺水泥,19.03,0.69,0.13,19.03,19.03,14205732.0,271947762.2,18.9,18.9,19.57,18.76
03993,洛阳钼业,18.25,-0.98,-0.18,18.25,18.25,85791478.0,1582752884.35,19.1,18.43,19.21,18.16
06826,昊海生物科技,18.23,0.05,0.01,18.23,18.23,284700.0,5187181.0,18.08,18.22,18.66,18.0
