strategy_id,walk_forward_preset,fold,date,benchmark_weight_date,symbol,benchmark_rank,benchmark_weight,failure_reason
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-24,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-25,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-25,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-26,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-26,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-27,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-27,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-30,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-30,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-31,2021-08-02,SH.600837,49,0.005428,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-08-31,2021-08-02,SH.601816,62,0.0046029999999999995,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-01,2021-08-31,SH.600837,36,0.00625,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-01,2021-08-31,SH.601816,61,0.00475,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-02,2021-09-01,SH.600837,35,0.006378,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-09-02,2021-09-01,SH.601816,57,0.0048259999999999996,missing_from_pit_panel
